"full_name","a","e","i","om","w","q","epoch","ma","t_jup"
"212345 (2005 UW13)",3.978,0.1671,2.24,205.73,60.40,3.313,2460000.5,168.89,3.03
"212369 (2006 GD39)",3.939,0.1260,9.66,152.05,137.30,3.443,2460000.5,333.73,3.02
"212490 (2006 QL117)",3.982,0.2546,1.73,271.41,105.69,2.968,2460000.5,15.53,3
"212689 (2006 WF159)",3.929,0.0455,3.41,183.83,319.98,3.751,2460000.5,324.03,3.06
"212690 (2006 WW181)",3.965,0.1440,4.32,83.72,141.32,3.394,2460000.5,230.23,3.04
"212928 (2008 AK106)",3.921,0.1265,3.49,31.96,118.43,3.425,2460000.5,305.39,3.05
"214472 (2005 SO282)",3.932,0.1260,12.19,74.48,67.43,3.436,2460000.5,337.74,3.01
"214483 (2005 TV168)",3.948,0.1406,2.69,19.77,154.48,3.393,2460000.5,305.84,3.04
"214910 (2007 TP181)",3.965,0.3105,10.20,131.90,252.49,2.734,2460000.5,342.11,2.95
"215089 Hermanfrid (2709 P-L)",3.948,0.2406,3.22,162.55,233.41,2.998,2460000.5,329.80,3.01
"215377 (2002 AZ106)",3.956,0.2304,2.02,54.23,13.06,3.044,2460000.5,282.61,3.01
"216408 (2008 FT73)",3.944,0.1804,6.38,151.93,326.46,3.232,2460000.5,24.13,3.02
"216411 (2008 RR51)",3.959,0.1386,15.02,182.29,117.36,3.410,2460000.5,330.95,2.98
"216613 (2002 TU281)",3.954,0.3164,9.48,242.01,107.22,2.703,2460000.5,238.04,2.95
"216615 (2002 UK46)",3.978,0.2671,9.53,134.82,217.02,2.916,2460000.5,228.91,2.97
"216771 (2005 WC45)",3.975,0.0438,0.75,247.72,281.42,3.801,2460000.5,329.45,3.06
"217023 (2001 MV16)",3.958,0.1403,9.51,40.03,306.21,3.403,2460000.5,233.45,3.02
"217024 (2001 NJ14)",3.947,0.2921,1.28,268.67,64.31,2.794,2460000.5,256.69,2.98
"217032 (2001 PJ4)",3.982,0.1884,7.45,318.62,45.05,3.232,2460000.5,219.32,3.01
"217039 (2001 QK43)",3.977,0.2564,1.81,324.28,25.04,2.957,2460000.5,237.79,3
"217196 (2002 TY110)",3.976,0.1824,7.98,306.31,39.01,3.251,2460000.5,229.68,3.01
"217208 (2002 TV256)",3.973,0.2643,2.63,182.77,172.38,2.923,2460000.5,230.17,2.99
"217604 (2008 KY24)",3.931,0.2512,14.91,142.95,191.21,2.944,2460000.5,262.31,2.95
"217844 (2001 OK77)",3.971,0.2479,12.74,77.01,252.37,2.987,2460000.5,252.52,2.96
"217849 (2001 PC54)",3.972,0.2744,2.17,321.91,351.82,2.882,2460000.5,261.56,2.99
"217891 (2001 RN118)",3.993,0.2225,3.44,147.58,180.11,3.105,2460000.5,265.51,3.01
"217906 (2001 SB125)",3.976,0.1098,5.91,188.10,97.92,3.540,2460000.5,306.27,3.04
"217991 (2001 WN55)",3.949,0.1527,7.67,231.93,245.72,3.346,2460000.5,201.77,3.02
"218241 (2002 XF45)",3.952,0.2472,2.06,225.18,108.82,2.975,2460000.5,257.73,3
"219545 (2001 RN27)",3.977,0.1849,6.41,359.73,312.12,3.242,2460000.5,280.56,3.02
"219555 (2001 RA125)",3.971,0.2027,3.06,119.00,161.48,3.167,2460000.5,307.63,3.02
"220461 (2004 BD36)",3.949,0.0657,2.73,59.40,108.98,3.689,2460000.5,119.47,3.05
"220910 (2005 EK131)",3.971,0.1544,11.71,42.42,170.71,3.358,2460000.5,49.42,3
"221507 (2006 DE102)",3.936,0.1281,3.14,46.96,276.13,3.431,2460000.5,273.61,3.04
"221778 (2007 KC)",3.956,0.1603,4.08,112.35,147.53,3.322,2460000.5,351.76,3.03
"221982 (1996 GW4)",3.98,0.1515,3.97,73.42,40.89,3.377,2460000.5,201.64,3.03
"222002 (1998 HN10)",3.965,0.1190,9.13,30.72,206.54,3.493,2460000.5,16.45,3.02
"222427 (2001 OK38)",3.944,0.1925,9.87,75.76,252.06,3.184,2460000.5,265.73,3
"222450 (2001 QM210)",3.957,0.2625,4.23,164.29,155.56,2.918,2460000.5,290.98,2.99
"222454 (2001 QM279)",3.959,0.2568,10.29,34.26,275.13,2.942,2460000.5,282.05,2.97
"222473 (2001 SN18)",3.981,0.1452,9.61,12.80,322.74,3.402,2460000.5,273.62,3.01
"222488 (2001 SF174)",3.971,0.2098,3.98,80.16,239.13,3.138,2460000.5,285.80,3.02
"222490 (2001 SA227)",3.975,0.2708,3.47,133.27,206.34,2.898,2460000.5,274.32,2.99
"222517 (2001 TY128)",3.989,0.0978,8.93,193.69,117.00,3.599,2460000.5,296.16,3.03
"222520 (2001 TD160)",3.998,0.2755,8.28,31.07,296.34,2.896,2460000.5,270.62,2.97
"222521 (2001 TH161)",3.934,0.1856,9.31,2.20,265.10,3.204,2460000.5,345.47,3.01
"222587 (2001 WH44)",3.998,0.1563,6.02,63.49,51.83,3.373,2460000.5,186.74,3.02
"223211 (2003 BE57)",3.979,0.1699,3.10,162.69,325.59,3.303,2460000.5,182.84,3.03
"223482 (2003 YL32)",3.949,0.1933,11.13,86.08,64.69,3.186,2460000.5,151.22,3
"223492 (2004 BV28)",3.911,0.1628,4.25,81.32,49.77,3.274,2460000.5,167.82,3.04
"223992 (2005 EO31)",3.924,0.1277,4.28,100.46,84.25,3.423,2460000.5,93.71,3.04
"224008 (2005 GC95)",3.976,0.1313,3.89,165.44,318.15,3.454,2460000.5,160.52,3.04
"224011 (2005 GO154)",3.943,0.0746,8.85,53.80,163.82,3.649,2460000.5,86.48,3.04
"225765 (2001 SD255)",3.98,0.2865,5.07,194.97,121.43,2.840,2460000.5,293.15,2.98
"225800 (2001 VR41)",3.952,0.2154,4.10,36.98,58.66,3.100,2460000.5,233.90,3.01
"225879 (2001 YS65)",3.953,0.2388,3.56,52.33,20.03,3.009,2460000.5,265.89,3.01
"226233 (2002 WG20)",3.953,0.1691,1.63,277.18,223.52,3.285,2460000.5,144.68,3.03
"226288 (2003 BB35)",3.974,0.2007,5.86,136.78,324.16,3.177,2460000.5,204.85,3.01
"226295 (2003 BH61)",3.968,0.2287,6.93,319.41,143.71,3.061,2460000.5,210.05,3
"226602 (2004 CH84)",3.964,0.1689,1.73,112.07,58.10,3.295,2460000.5,127.63,3.03
"226612 (2004 DN28)",3.971,0.1067,4.01,121.62,58.69,3.547,2460000.5,123.33,3.04
"227062 (2005 EX262)",3.911,0.1100,2.44,291.61,303.77,3.481,2460000.5,68.12,3.05
"227065 Romandia (2005 GQ9)",3.947,0.0967,4.27,61.28,178.62,3.565,2460000.5,49.02,3.05
"227074 (2005 JG89)",3.946,0.1480,2.88,27.24,120.91,3.362,2460000.5,162.99,3.04
"227755 (2006 JY8)",3.988,0.1056,1.81,305.95,297.48,3.567,2460000.5,27.79,3.04
"228093 (2008 SV9)",3.958,0.1146,3.15,198.73,91.73,3.504,2460000.5,351.32,3.04
"228535 (2001 VL55)",3.924,0.1754,7.79,262.17,193.18,3.236,2460000.5,227.63,3.02
"228559 (2001 XD105)",3.963,0.2397,4.30,124.23,273.42,3.013,2460000.5,295.38,3
"228568 (2001 XR207)",3.956,0.2471,11.96,99.07,348.14,2.979,2460000.5,245.65,2.97
"228571 (2001 XN223)",3.947,0.1095,4.09,343.16,77.62,3.514,2460000.5,256.23,3.04
"229050 (2004 FK57)",3.922,0.1048,7.72,349.73,123.53,3.511,2460000.5,213.57,3.04
"229795 (2008 RM100)",3.975,0.2416,7.70,172.43,274.02,3.015,2460000.5,235.80,2.99
"230251 (2001 VT31)",3.989,0.2692,16.88,67.05,16.91,2.915,2460000.5,231.78,2.92
"230292 (2001 YJ65)",3.956,0.2397,2.43,25.05,59.46,3.008,2460000.5,257.74,3.01
"230293 (2001 YS66)",3.923,0.1977,6.37,61.91,358.17,3.148,2460000.5,287.40,3.02
"230294 (2001 YW79)",3.966,0.1767,7.31,293.97,128.79,3.265,2460000.5,276.52,3.02
"230309 (2002 AT169)",3.96,0.2821,11.90,110.04,328.94,2.843,2460000.5,264.61,2.95
"230334 (2002 CM142)",3.969,0.2005,9.47,146.16,304.88,3.173,2460000.5,260.76,3
"230346 (2002 CN263)",3.972,0.1041,4.64,301.17,146.39,3.559,2460000.5,273.20,3.04
"231398 (2006 PX9)",3.961,0.1330,0.24,187.47,162.84,3.434,2460000.5,24.49,3.04
